ID,Age Class,Sex,Confidence,Reason,Tag ID,Biopsy,Genetics,Falcone Age Category,Falcone Age,Falcone Sex,Cascadia Age,Cascadia Gender,Comments
Zca_097,Adult,Male,High,White animal; heavy scarring; no teeth,ZcTag100,,,Reproductive,Adult,Male,,,
Zca_098,Adult,Male,High,White animal; heavy scarring; no teeth or missing one tooth,ZcTag102,,,Reproductive,Adult,Male,,,
Zca_099,Unknown,Unknown,,Brown; moderate scarring,,,,Subadult,Subadult ,Male,,,
Zca_100,Unknown,Unknown,,Brown; medium scarring; no teeth,ZcTag105,,,Subadult,Subadult ,Male,,,
Zca_101,Adult,Female,High,With calf in 2020 (Zca_102),ZcTag107,,,Reproductive,Adult,Female,,,
Zca_102,Calf,Unknown,High,With mom in 2020 (Zca_101),,,,Calf- older,Calf- older,Unk,,,
Zca_103,Unknown,Unknown,,Gray; minnimal scarring; probably no teeth,,,,Adult,Adult,Female,,,
Zca_104,Adult,Male,High,Erupted teeth; missing one teeth,ZcTag108,,,Reproductive,Adult,Male,,,
Zca_105,Unknown,Unknown,,Gray; moderate scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_106,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Male,,,
Zca_107,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Subadult,Subadult ,Female,,,
Zca_108,Unknown,Unknown,,Gray; medium scarring; probably no teeth,,,,Subadult,Subadult ,Male,,,
Zca_109,Unknown,Unknown,,Brown; no good view of the body or head,,,,Unk,Unk,Unk,,,
Zca_110,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_111,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_112,Unknown,Unknown,,Brown; medium scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_113,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_114,Adult,Male,High,Erupting teeth,,,,Reproductive,Adult,Male,,,
Zca_115,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Reproductive,Adult,Female,,,
Zca_116,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_Rakes_001,Unknown,Unknown,,Minimal scarring; white head,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_Rakes_002,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
